customer_id,previous_bill,paid_status
CUST386,939,Unpaid
CUST387,459,Paid
CUST388,905,Paid
CUST389,1766,Unpaid
CUST390,1371,Unpaid
CUST391,1878,Paid
CUST392,1035,Paid
CUST393,795,Paid
CUST394,745,Unpaid
CUST395,1768,Unpaid
CUST396,990,Paid
CUST397,1321,Unpaid
CUST398,1526,Paid
CUST399,1827,Unpaid
CUST400,890,Paid
CUST401,711,Unpaid
CUST402,1698,Unpaid
CUST403,1339,Unpaid
CUST404,787,Unpaid
CUST405,855,Unpaid
CUST406,1646,Paid
CUST407,406,Paid
CUST408,626,Unpaid
CUST409,1705,Paid
CUST410,1117,Unpaid
CUST411,1404,Paid
CUST412,830,Unpaid
CUST413,1059,Paid
CUST414,1423,Paid
CUST415,1715,Paid
CUST416,793,Unpaid
CUST417,1856,Unpaid
CUST418,799,Unpaid
CUST419,442,Unpaid
CUST420,940,Unpaid
CUST421,711,Unpaid
CUST422,366,Paid
CUST423,1686,Paid
CUST424,649,Unpaid
CUST425,1812,Paid
CUST426,798,Unpaid
CUST427,1302,Unpaid
CUST428,1017,Unpaid
CUST429,1639,Unpaid
CUST430,1749,Unpaid
CUST431,727,Unpaid
CUST432,424,Unpaid
CUST433,1009,Unpaid
CUST434,1561,Unpaid
CUST435,948,Unpaid
CUST436,581,Paid
CUST437,642,Unpaid
CUST438,1848,Paid
CUST439,626,Unpaid
CUST440,1343,Unpaid
CUST441,681,Paid
CUST442,570,Unpaid
CUST443,1937,Unpaid
CUST444,1647,Unpaid
CUST445,635,Paid
CUST446,243,Unpaid
CUST447,336,Paid
CUST448,1004,Paid
CUST449,1714,Paid
CUST450,949,Unpaid
CUST451,719,Paid
CUST452,1570,Paid
CUST453,1710,Unpaid
CUST454,1690,Unpaid
CUST455,1407,Unpaid
CUST456,1998,Unpaid
CUST457,876,Paid
CUST458,1308,Paid
CUST459,381,Unpaid
CUST460,1456,Unpaid
CUST461,841,Unpaid
CUST462,902,Paid
CUST463,206,Unpaid
CUST464,348,Paid
CUST465,394,Paid
CUST466,485,Paid
CUST467,996,Unpaid
CUST468,392,Paid
CUST469,1540,Unpaid
CUST470,990,Paid
CUST471,1123,Unpaid
CUST472,1862,Paid
CUST473,1348,Paid
CUST474,1029,Unpaid
CUST475,1654,Paid
CUST476,1511,Paid
CUST477,545,Paid
CUST478,1925,Paid
CUST479,891,Unpaid
CUST480,239,Unpaid
CUST481,212,Unpaid
CUST482,366,Paid
CUST483,1201,Paid
CUST484,227,Paid
CUST485,1850,Unpaid
CUST486,737,Paid
CUST487,1738,Paid
CUST488,1616,Unpaid
CUST489,1752,Paid
CUST490,1401,Unpaid
CUST491,1076,Paid
CUST492,605,Paid
CUST493,1831,Unpaid
CUST494,995,Unpaid
CUST495,708,Paid
CUST496,752,Paid
CUST497,1733,Unpaid
CUST498,1649,Unpaid
CUST499,1396,Paid
CUST500,1083,Paid
CUST501,390,Unpaid
CUST502,1271,Unpaid
CUST503,1142,Unpaid
CUST504,1412,Unpaid
CUST505,1912,Unpaid
CUST506,1388,Unpaid
CUST507,941,Unpaid
CUST508,1413,Paid
CUST509,541,Unpaid
CUST510,1498,Unpaid
CUST511,294,Paid
CUST512,1619,Paid
CUST513,658,Paid
CUST514,1752,Unpaid
CUST515,1961,Unpaid
CUST516,1387,Unpaid
CUST517,494,Paid
CUST518,1143,Paid
CUST519,348,Paid
CUST520,1456,Unpaid
CUST521,395,Unpaid
CUST522,1300,Unpaid
CUST523,329,Paid
CUST524,1091,Paid
CUST525,1445,Unpaid
CUST526,1777,Unpaid
CUST527,1232,Paid
CUST528,1585,Unpaid
CUST529,1008,Paid
CUST530,670,Paid
CUST531,1905,Unpaid
CUST532,417,Unpaid
CUST533,1656,Paid
CUST534,1850,Paid
CUST535,1225,Paid
CUST536,703,Unpaid
CUST537,482,Paid
CUST538,689,Paid
CUST539,1056,Paid
CUST540,695,Unpaid
CUST541,1545,Paid
CUST542,601,Unpaid
CUST543,1591,Unpaid
CUST544,1102,Paid
CUST545,1127,Paid
CUST546,1765,Unpaid
CUST547,791,Paid
CUST548,1145,Unpaid
CUST549,527,Unpaid
CUST550,1535,Unpaid
CUST551,1037,Paid
CUST552,611,Paid
CUST553,715,Unpaid
CUST554,1126,Paid
CUST555,349,Unpaid
CUST556,1052,Paid
CUST557,1188,Paid
CUST558,814,Unpaid
CUST559,423,Unpaid
CUST560,1793,Paid
CUST561,382,Unpaid
CUST562,768,Unpaid
CUST563,811,Paid
CUST564,573,Paid
CUST565,794,Unpaid
CUST566,1509,Paid
CUST567,1271,Paid
CUST568,1435,Paid
CUST569,479,Unpaid
CUST570,350,Paid
CUST571,254,Paid
CUST572,1297,Unpaid
CUST573,1835,Unpaid
CUST574,746,Unpaid
CUST575,1048,Unpaid
CUST576,1668,Paid
CUST577,905,Unpaid
CUST578,865,Unpaid
CUST579,900,Paid
CUST580,1451,Unpaid
CUST581,1461,Paid
CUST582,536,Paid
CUST583,523,Unpaid
CUST584,1071,Paid
CUST585,598,Unpaid
CUST586,955,Unpaid
CUST587,724,Paid
CUST588,1946,Unpaid
CUST589,1080,Paid
CUST590,1951,Unpaid
CUST591,836,Unpaid
CUST592,549,Unpaid
CUST593,544,Paid
CUST594,1397,Unpaid
CUST595,914,Paid
CUST596,1035,Unpaid
CUST597,1668,Paid
CUST598,1301,Unpaid
CUST599,790,Unpaid
CUST600,1656,Unpaid
CUST601,1849,Unpaid
CUST602,251,Paid
CUST603,1248,Unpaid
CUST604,1471,Paid
CUST605,1780,Paid
CUST606,608,Unpaid
CUST607,640,Paid
CUST608,976,Paid
CUST609,1897,Paid
CUST610,450,Paid
CUST611,868,Unpaid
CUST612,1714,Paid
CUST613,796,Paid
CUST614,1623,Paid
CUST615,851,Unpaid
CUST616,1007,Unpaid
CUST617,1487,Paid
CUST618,1198,Unpaid
CUST619,795,Paid
CUST620,714,Paid
CUST621,363,Unpaid
CUST622,1849,Unpaid
CUST623,612,Paid
CUST624,1398,Unpaid
CUST625,663,Paid
CUST626,1835,Unpaid
CUST627,404,Paid
CUST628,1442,Paid
CUST629,373,Unpaid
CUST630,1799,Paid
CUST631,472,Unpaid
CUST632,575,Paid
CUST633,473,Unpaid
CUST634,860,Paid
CUST635,1151,Paid
CUST636,1415,Unpaid
CUST637,1753,Unpaid
CUST638,820,Paid
CUST639,1261,Paid
CUST640,717,Paid
CUST641,804,Paid
CUST642,1537,Paid
CUST643,874,Paid
CUST644,222,Paid
CUST645,1987,Paid
CUST646,1620,Paid
CUST647,842,Paid
CUST648,278,Paid
CUST649,1675,Paid
CUST650,1706,Paid
CUST651,1329,Paid
CUST652,799,Unpaid
CUST653,1318,Unpaid
CUST654,1170,Paid
CUST655,1146,Paid
CUST656,714,Paid
CUST657,328,Paid
CUST658,1597,Unpaid
CUST659,811,Unpaid
CUST660,1333,Unpaid
CUST661,723,Unpaid
CUST662,1777,Paid
CUST663,788,Unpaid
CUST664,1235,Unpaid
CUST665,1464,Paid
CUST666,329,Paid
CUST667,1591,Unpaid
CUST668,1835,Paid
CUST669,1053,Unpaid
CUST670,1121,Paid
CUST671,988,Paid
CUST672,1728,Unpaid
CUST673,547,Unpaid
CUST674,1899,Paid
CUST675,1456,Paid
CUST676,938,Unpaid
CUST677,1687,Unpaid
CUST678,1469,Paid
CUST679,1885,Unpaid
CUST680,1797,Paid
CUST681,1933,Paid
CUST682,1001,Unpaid
CUST683,966,Paid
CUST684,320,Paid
CUST685,1420,Unpaid
CUST686,1556,Unpaid
CUST687,894,Paid
CUST688,829,Unpaid
CUST689,1149,Unpaid
CUST690,1322,Paid
CUST691,1601,Unpaid
CUST692,596,Paid
CUST693,455,Unpaid
CUST694,1203,Unpaid
CUST695,1787,Unpaid
CUST696,620,Paid
CUST697,819,Paid
CUST698,1445,Unpaid
CUST699,1817,Paid
CUST700,1374,Unpaid
CUST701,1088,Unpaid
CUST702,1032,Paid
CUST703,1685,Paid
CUST704,1630,Paid
CUST705,1195,Unpaid
CUST706,715,Unpaid
CUST707,310,Unpaid
CUST708,1000,Paid
CUST709,1813,Paid
CUST710,287,Paid
CUST711,837,Unpaid
CUST712,1744,Paid
CUST713,1910,Unpaid
CUST714,1230,Unpaid
CUST715,1926,Unpaid
CUST716,1929,Paid
CUST717,1739,Paid
CUST718,1110,Unpaid
CUST719,1266,Paid
CUST720,1535,Paid
CUST721,726,Unpaid
CUST722,1888,Unpaid
CUST723,1650,Unpaid
CUST724,979,Unpaid
CUST725,858,Paid
CUST726,377,Paid
CUST727,1889,Paid
CUST728,911,Unpaid
CUST729,1402,Paid
CUST730,415,Unpaid
CUST731,1301,Paid
CUST732,1474,Unpaid
CUST733,1766,Unpaid
CUST734,286,Unpaid
CUST735,1104,Paid
CUST736,630,Unpaid
CUST737,579,Paid
CUST738,666,Unpaid
CUST739,1509,Unpaid
CUST740,1841,Paid
CUST741,960,Paid
CUST742,1453,Paid
CUST743,1137,Paid
CUST744,602,Unpaid
CUST745,1621,Unpaid
CUST746,1191,Unpaid
CUST747,1537,Unpaid
CUST748,1610,Unpaid
CUST749,1592,Paid
CUST750,1494,Unpaid
CUST751,1075,Paid
CUST752,1544,Unpaid
CUST753,810,Unpaid
CUST754,1663,Paid
CUST755,1642,Unpaid
CUST756,721,Unpaid
CUST757,1628,Unpaid
CUST758,369,Unpaid
CUST759,451,Unpaid
CUST760,1553,Paid
CUST761,363,Unpaid
CUST762,358,Paid
CUST763,472,Paid
CUST764,310,Paid
CUST765,622,Paid
CUST766,1214,Unpaid
CUST767,290,Unpaid
CUST768,800,Paid
CUST769,468,Paid
CUST770,1801,Paid
CUST771,470,Unpaid
CUST772,433,Unpaid
CUST773,725,Unpaid
CUST774,1768,Unpaid
CUST775,1167,Paid
CUST776,384,Paid
CUST777,357,Unpaid
CUST778,855,Paid
CUST779,491,Unpaid
CUST780,1253,Paid
CUST781,1727,Paid
CUST782,1031,Paid
CUST783,1373,Paid
CUST784,436,Paid
CUST785,1871,Unpaid
CUST786,449,Paid
CUST787,1289,Unpaid
CUST788,322,Paid
CUST789,335,Unpaid
CUST790,560,Unpaid
CUST791,1715,Paid
CUST792,1641,Unpaid
CUST793,1410,Unpaid
CUST794,837,Paid
CUST795,660,Unpaid
CUST796,1489,Unpaid
CUST797,1780,Paid
CUST798,1603,Unpaid
CUST799,1861,Unpaid
CUST800,1730,Paid
CUST801,1059,Unpaid
CUST802,1492,Unpaid
CUST803,1218,Paid
CUST804,719,Paid
CUST805,1902,Unpaid
CUST806,727,Paid
CUST807,542,Paid
CUST808,1999,Paid
CUST809,1189,Unpaid
CUST810,1759,Paid
CUST811,1039,Unpaid
CUST812,1239,Unpaid
CUST813,1075,Unpaid
CUST814,1123,Unpaid
CUST815,1507,Paid
CUST816,1888,Paid
CUST817,706,Unpaid
CUST818,1197,Paid
CUST819,363,Unpaid
CUST820,1289,Paid
CUST821,913,Unpaid
CUST822,676,Paid
CUST823,816,Unpaid
CUST824,1919,Paid
CUST825,1148,Paid
CUST826,1015,Unpaid
CUST827,1623,Paid
CUST828,1247,Unpaid
CUST829,587,Unpaid
CUST830,496,Paid
CUST831,851,Paid
CUST832,1245,Paid
CUST833,313,Paid
CUST834,1806,Paid
CUST835,796,Paid
CUST836,1298,Paid
CUST837,606,Unpaid
CUST838,1570,Unpaid
CUST839,784,Paid
CUST840,1236,Unpaid
CUST841,1028,Unpaid
CUST842,1999,Unpaid
CUST843,1922,Unpaid
CUST844,1216,Paid
CUST845,1277,Paid
CUST846,1504,Paid
CUST847,1134,Paid
CUST848,440,Unpaid
CUST849,1365,Unpaid
CUST850,996,Unpaid
CUST851,246,Paid
CUST852,620,Unpaid
CUST853,1354,Unpaid
CUST854,1436,Paid
CUST855,1870,Unpaid
CUST856,293,Paid
CUST857,262,Paid
CUST858,1422,Unpaid
CUST859,233,Unpaid
CUST860,655,Paid
CUST861,966,Paid
CUST862,1451,Unpaid
CUST863,506,Unpaid
CUST864,1397,Unpaid
CUST865,900,Paid
CUST866,1884,Unpaid
CUST867,1171,Unpaid
CUST868,1692,Paid
CUST869,1895,Unpaid
CUST870,1644,Paid
CUST871,1789,Unpaid
CUST872,912,Paid
CUST873,534,Unpaid
CUST874,1551,Paid
CUST875,685,Paid
CUST876,1773,Unpaid
CUST877,1997,Paid
CUST878,1718,Paid
CUST879,606,Paid
CUST880,1745,Unpaid
CUST881,590,Unpaid
CUST882,1440,Unpaid
CUST883,1224,Unpaid
CUST884,600,Unpaid
CUST885,1552,Unpaid
CUST886,1753,Unpaid
CUST887,480,Paid
CUST888,1152,Paid
CUST889,1875,Paid
CUST890,825,Paid
CUST891,1789,Unpaid
CUST892,1904,Paid
CUST893,1124,Unpaid
CUST894,603,Unpaid
CUST895,1381,Paid
CUST896,691,Paid
CUST897,687,Unpaid
CUST898,1099,Paid
CUST899,1985,Unpaid
CUST900,1203,Unpaid
CUST901,1985,Paid
CUST902,254,Unpaid
CUST903,1330,Paid
CUST904,1677,Paid
CUST905,1585,Unpaid
CUST906,1023,Paid
CUST907,584,Paid
CUST908,512,Unpaid
CUST909,1549,Paid
CUST910,717,Paid
CUST911,1882,Paid
CUST912,418,Paid
CUST913,1976,Unpaid
CUST914,871,Unpaid
CUST915,330,Unpaid
CUST916,634,Paid
CUST917,995,Unpaid
CUST918,1633,Paid
CUST919,362,Unpaid
CUST920,1968,Paid
CUST921,1799,Paid
CUST922,1142,Unpaid
CUST923,1212,Paid
CUST924,1122,Paid
CUST925,400,Unpaid
CUST926,1431,Unpaid
CUST927,456,Unpaid
CUST928,1838,Unpaid
CUST929,1026,Unpaid
CUST930,1858,Paid
CUST931,496,Paid
CUST932,1537,Unpaid
CUST933,1120,Paid
CUST934,1870,Unpaid
CUST935,529,Unpaid
CUST936,1485,Paid
CUST937,1989,Paid
CUST938,1710,Paid
CUST939,316,Unpaid
CUST940,1604,Unpaid
CUST941,358,Paid
CUST942,1762,Paid
CUST943,1446,Paid
CUST944,1708,Paid
CUST945,1442,Paid
CUST946,1851,Unpaid
CUST947,836,Paid
CUST948,1901,Unpaid
CUST949,603,Paid
CUST950,1884,Paid
CUST951,1508,Paid
CUST952,577,Unpaid
CUST953,746,Unpaid
CUST954,1034,Unpaid
CUST955,345,Unpaid
CUST956,399,Paid
CUST957,1310,Paid
CUST958,1255,Paid
CUST959,719,Paid
CUST960,1871,Paid
CUST961,1831,Unpaid
CUST962,782,Unpaid
CUST963,803,Paid
CUST964,358,Paid
CUST965,1920,Paid
CUST966,1427,Unpaid
CUST967,1044,Unpaid
CUST968,759,Unpaid
CUST969,1426,Unpaid
CUST970,1861,Paid
CUST971,954,Paid
CUST972,1295,Paid
CUST973,246,Unpaid
CUST974,1294,Unpaid
CUST975,1855,Unpaid
CUST976,1976,Unpaid
CUST977,536,Paid
CUST978,255,Unpaid
CUST979,1701,Unpaid
CUST980,276,Paid
CUST981,1129,Paid
CUST982,1562,Paid
CUST983,605,Paid
CUST984,1218,Paid
CUST985,908,Paid
CUST986,852,Paid
CUST987,285,Paid
CUST988,1712,Unpaid
CUST989,1273,Unpaid
CUST990,760,Unpaid
CUST991,802,Unpaid
CUST992,1989,Paid
CUST993,1849,Paid
CUST994,1350,Paid
CUST995,1165,Paid
CUST996,1024,Paid
CUST997,542,Paid
CUST998,1170,Unpaid
CUST999,388,Unpaid
CUST1000,322,Paid
CUST1001,333,Unpaid
CUST1002,1795,Unpaid
CUST1003,682,Paid
CUST1004,396,Unpaid
CUST1005,691,Unpaid
CUST1006,1556,Unpaid
CUST1007,724,Paid
CUST1008,345,Paid
CUST1009,1292,Paid
CUST1010,918,Unpaid
CUST1011,313,Unpaid
CUST1012,1264,Paid
CUST1013,236,Paid
CUST1014,346,Paid
CUST1015,995,Unpaid
CUST1016,1658,Paid
CUST1017,753,Unpaid
CUST1018,841,Unpaid
CUST1019,1122,Unpaid
CUST1020,1539,Unpaid
CUST1021,367,Unpaid
CUST1022,1179,Paid
CUST1023,500,Unpaid
CUST1024,1675,Unpaid
CUST1025,1998,Paid
CUST1026,1955,Paid
CUST1027,342,Unpaid
CUST1028,594,Paid
CUST1029,599,Unpaid
CUST1030,1865,Unpaid
CUST1031,1717,Unpaid
CUST1032,1893,Paid
CUST1033,597,Unpaid
CUST1034,1093,Unpaid
CUST1035,285,Unpaid
CUST1036,266,Paid
CUST1037,612,Unpaid
CUST1038,894,Paid
CUST1039,1706,Unpaid
CUST1040,1398,Paid
CUST1041,413,Unpaid
CUST1042,1135,Paid
CUST1043,1120,Paid
CUST1044,1010,Unpaid
CUST1045,836,Paid
CUST1046,1706,Unpaid
CUST1047,1223,Unpaid
CUST1048,1519,Paid
CUST1049,1819,Paid
CUST1050,1986,Unpaid
CUST1051,1103,Paid
CUST1052,1399,Unpaid
CUST1053,1701,Paid
CUST1054,650,Paid
CUST1055,1152,Unpaid
CUST1056,1526,Unpaid
CUST1057,757,Unpaid
CUST1058,1628,Unpaid
CUST1059,1116,Unpaid
CUST1060,929,Paid
CUST1061,1930,Paid
CUST1062,1212,Unpaid
CUST1063,1548,Paid
CUST1064,1278,Paid
CUST1065,1473,Unpaid
CUST1066,507,Unpaid
CUST1067,692,Unpaid
CUST1068,202,Paid
CUST1069,1352,Unpaid
CUST1070,611,Unpaid
CUST1071,1902,Paid
CUST1072,656,Unpaid
CUST1073,1576,Paid
CUST1074,1449,Paid
CUST1075,290,Paid
CUST1076,213,Paid
CUST1077,1456,Paid
CUST1078,1967,Unpaid
CUST1079,1300,Unpaid
CUST1080,1485,Unpaid
CUST1081,418,Paid
CUST1082,1560,Unpaid
CUST1083,974,Paid
CUST1084,510,Unpaid
CUST1085,472,Paid
CUST1086,1737,Unpaid
CUST1087,1244,Unpaid
CUST1088,1541,Paid
CUST1089,1096,Unpaid
CUST1090,621,Unpaid
CUST1091,1354,Paid
CUST1092,294,Paid
CUST1093,554,Unpaid
CUST1094,1363,Paid
CUST1095,1848,Unpaid
CUST1096,1636,Paid
CUST1097,234,Unpaid
CUST1098,1403,Unpaid
CUST1099,981,Paid
CUST1100,1002,Unpaid
CUST1101,718,Unpaid
