customer_id,operator,plan_type,tenure
CUST95,BSNL,Prepaid,48
CUST96,BSNL,Prepaid,57
CUST97,BSNL,Prepaid,32
CUST98,Vi,Prepaid,59
CUST99,Vi,Prepaid,36
CUST100,BSNL,Postpaid,57
CUST101,Jio,Prepaid,27
CUST102,Jio,Postpaid,71
CUST103,Airtel,Postpaid,23
CUST104,BSNL,Prepaid,3
CUST105,Jio,Postpaid,29
CUST106,Vi,Prepaid,56
CUST107,Jio,Postpaid,37
CUST108,BSNL,Postpaid,60
CUST109,Airtel,Postpaid,45
CUST110,Vi,Postpaid,9
CUST111,BSNL,Prepaid,10
CUST112,BSNL,Prepaid,62
CUST113,Airtel,Postpaid,32
CUST114,Vi,Postpaid,44
CUST115,Jio,Prepaid,43
CUST116,BSNL,Prepaid,3
CUST117,Airtel,Postpaid,52
CUST118,Jio,Prepaid,25
CUST119,Airtel,Postpaid,6
CUST120,Vi,Prepaid,58
CUST121,Vi,Postpaid,33
CUST122,Jio,Prepaid,15
CUST123,Jio,Postpaid,22
CUST124,BSNL,Postpaid,27
CUST125,Jio,Prepaid,45
CUST126,Vi,Postpaid,27
CUST127,Jio,Prepaid,21
CUST128,Vi,Postpaid,2
CUST129,Airtel,Postpaid,66
CUST130,BSNL,Prepaid,23
CUST131,Vi,Prepaid,60
CUST132,BSNL,Postpaid,27
CUST133,BSNL,Prepaid,1
CUST134,Vi,Prepaid,14
CUST135,Vi,Prepaid,57
CUST136,Vi,Postpaid,43
CUST137,Airtel,Prepaid,68
CUST138,Jio,Prepaid,15
CUST139,Airtel,Postpaid,1
CUST140,Jio,Postpaid,2
CUST141,Airtel,Postpaid,15
CUST142,BSNL,Postpaid,25
CUST143,Airtel,Postpaid,17
CUST144,Jio,Postpaid,34
CUST145,BSNL,Postpaid,15
CUST146,BSNL,Postpaid,69
CUST147,Jio,Postpaid,9
CUST148,BSNL,Postpaid,64
CUST149,Vi,Postpaid,8
CUST150,Jio,Prepaid,7
CUST151,Jio,Postpaid,22
CUST152,BSNL,Postpaid,14
CUST153,Airtel,Postpaid,50
CUST154,BSNL,Postpaid,21
CUST155,Jio,Prepaid,34
CUST156,Jio,Postpaid,68
CUST157,Vi,Prepaid,51
CUST158,BSNL,Prepaid,34
CUST159,Vi,Prepaid,60
CUST160,Vi,Prepaid,55
CUST161,BSNL,Postpaid,39
CUST162,BSNL,Postpaid,34
CUST163,Airtel,Postpaid,4
CUST164,Jio,Prepaid,2
CUST165,BSNL,Prepaid,59
CUST166,BSNL,Prepaid,59
CUST167,Jio,Postpaid,28
CUST168,Jio,Prepaid,62
CUST169,Jio,Prepaid,4
CUST170,Vi,Prepaid,49
CUST171,BSNL,Postpaid,58
CUST172,Airtel,Postpaid,54
CUST173,Airtel,Prepaid,61
CUST174,Airtel,Postpaid,62
CUST175,Vi,Prepaid,53
CUST176,BSNL,Prepaid,56
CUST177,Vi,Postpaid,20
CUST178,Jio,Prepaid,17
CUST179,Airtel,Postpaid,71
CUST180,Vi,Postpaid,16
CUST181,Airtel,Prepaid,27
CUST182,BSNL,Prepaid,38
CUST183,Jio,Postpaid,53
CUST184,Vi,Postpaid,55
CUST185,Jio,Postpaid,58
CUST186,Jio,Postpaid,68
CUST187,Vi,Prepaid,8
CUST188,Vi,Postpaid,16
CUST189,BSNL,Postpaid,27
CUST190,BSNL,Postpaid,23
CUST191,Airtel,Prepaid,11
CUST192,BSNL,Prepaid,13
CUST193,Jio,Postpaid,3
CUST194,Vi,Postpaid,22
CUST195,Airtel,Postpaid,45
CUST196,Vi,Prepaid,13
CUST197,Jio,Prepaid,27
CUST198,Vi,Prepaid,10
CUST199,BSNL,Postpaid,63
CUST200,Vi,Postpaid,58
CUST201,Airtel,Postpaid,41
CUST202,Jio,Prepaid,69
CUST203,Airtel,Postpaid,51
CUST204,Vi,Postpaid,41
CUST205,Jio,Postpaid,2
CUST206,BSNL,Prepaid,34
CUST207,BSNL,Prepaid,8
CUST208,Jio,Prepaid,50
CUST209,Vi,Postpaid,18
CUST210,Vi,Postpaid,31
CUST211,Vi,Postpaid,30
CUST212,Airtel,Postpaid,38
CUST213,Vi,Postpaid,53
CUST214,Vi,Prepaid,51
CUST215,Vi,Prepaid,49
CUST216,BSNL,Postpaid,57
CUST217,Airtel,Postpaid,67
CUST218,Jio,Prepaid,58
CUST219,BSNL,Postpaid,6
CUST220,Airtel,Postpaid,65
CUST221,Airtel,Postpaid,71
CUST222,Vi,Prepaid,42
CUST223,Vi,Prepaid,28
CUST224,Airtel,Prepaid,64
CUST225,Airtel,Prepaid,21
CUST226,Jio,Prepaid,19
CUST227,Airtel,Postpaid,12
CUST228,Airtel,Prepaid,40
CUST229,Vi,Prepaid,57
CUST230,Jio,Prepaid,61
CUST231,Airtel,Postpaid,61
CUST232,Jio,Postpaid,5
CUST233,BSNL,Prepaid,39
CUST234,BSNL,Prepaid,69
CUST235,BSNL,Prepaid,5
CUST236,Airtel,Postpaid,42
CUST237,Vi,Prepaid,6
CUST238,Vi,Postpaid,51
CUST239,BSNL,Prepaid,47
CUST240,Airtel,Postpaid,11
CUST241,Airtel,Postpaid,49
CUST242,Jio,Postpaid,16
CUST243,Vi,Prepaid,14
CUST244,Vi,Prepaid,18
CUST245,Vi,Postpaid,51
CUST246,Airtel,Prepaid,69
CUST247,Vi,Prepaid,3
CUST248,Jio,Prepaid,1
CUST249,Vi,Prepaid,34
CUST250,Vi,Postpaid,40
CUST251,Airtel,Prepaid,69
CUST252,Airtel,Postpaid,71
CUST253,Airtel,Postpaid,51
CUST254,Jio,Postpaid,13
CUST255,BSNL,Prepaid,20
CUST256,BSNL,Prepaid,22
CUST257,Vi,Prepaid,42
CUST258,Jio,Prepaid,33
CUST259,Vi,Postpaid,50
CUST260,Jio,Prepaid,53
CUST261,Vi,Postpaid,30
CUST262,Airtel,Postpaid,65
CUST263,BSNL,Postpaid,33
CUST264,Jio,Postpaid,64
CUST265,Airtel,Postpaid,11
CUST266,BSNL,Prepaid,69
CUST267,BSNL,Postpaid,42
CUST268,BSNL,Postpaid,62
CUST269,Vi,Prepaid,42
CUST270,Airtel,Prepaid,67
CUST271,Airtel,Prepaid,56
CUST272,BSNL,Postpaid,31
CUST273,Vi,Postpaid,57
CUST274,Vi,Postpaid,4
CUST275,Vi,Postpaid,15
CUST276,Vi,Postpaid,26
CUST277,Airtel,Prepaid,61
CUST278,Vi,Postpaid,36
CUST279,Vi,Postpaid,55
CUST280,Airtel,Prepaid,26
CUST281,BSNL,Postpaid,57
CUST282,Jio,Postpaid,30
CUST283,Vi,Postpaid,38
CUST284,BSNL,Prepaid,65
CUST285,Airtel,Postpaid,64
CUST286,Jio,Postpaid,31
CUST287,Jio,Prepaid,39
CUST288,Airtel,Prepaid,12
CUST289,Airtel,Prepaid,52
CUST290,Airtel,Prepaid,58
CUST291,Vi,Postpaid,38
CUST292,BSNL,Prepaid,47
CUST293,Airtel,Prepaid,6
CUST294,Vi,Prepaid,39
CUST295,Vi,Prepaid,52
CUST296,Jio,Prepaid,30
CUST297,Jio,Postpaid,38
CUST298,BSNL,Postpaid,21
CUST299,Airtel,Prepaid,64
CUST300,Airtel,Prepaid,7
CUST301,Airtel,Prepaid,27
CUST302,Airtel,Postpaid,24
CUST303,Vi,Prepaid,58
CUST304,Vi,Prepaid,50
CUST305,Vi,Prepaid,32
CUST306,BSNL,Postpaid,35
CUST307,BSNL,Prepaid,36
CUST308,BSNL,Postpaid,11
CUST309,BSNL,Postpaid,20
CUST310,Jio,Prepaid,49
CUST311,Jio,Postpaid,44
CUST312,Jio,Prepaid,11
CUST313,BSNL,Prepaid,42
CUST314,Jio,Postpaid,37
CUST315,Vi,Prepaid,21
CUST316,Vi,Prepaid,52
CUST317,Jio,Postpaid,67
CUST318,BSNL,Prepaid,48
CUST319,Airtel,Postpaid,62
CUST320,Vi,Postpaid,57
CUST321,Vi,Postpaid,41
CUST322,Vi,Prepaid,34
CUST323,Jio,Postpaid,14
CUST324,Jio,Postpaid,19
CUST325,Airtel,Prepaid,7
CUST326,Vi,Prepaid,7
CUST327,Jio,Postpaid,33
CUST328,Airtel,Postpaid,49
CUST329,Jio,Postpaid,71
CUST330,Vi,Prepaid,12
CUST331,Airtel,Postpaid,19
CUST332,Airtel,Postpaid,8
CUST333,Vi,Postpaid,4
CUST334,BSNL,Postpaid,59
CUST335,BSNL,Postpaid,20
CUST336,Airtel,Postpaid,37
CUST337,BSNL,Prepaid,26
CUST338,Vi,Prepaid,34
CUST339,Jio,Postpaid,49
CUST340,Vi,Prepaid,35
CUST341,Vi,Postpaid,63
CUST342,Airtel,Prepaid,31
CUST343,Vi,Prepaid,63
CUST344,BSNL,Prepaid,56
CUST345,Airtel,Prepaid,70
CUST346,BSNL,Prepaid,2
CUST347,Jio,Postpaid,43
CUST348,BSNL,Prepaid,22
CUST349,Vi,Postpaid,12
CUST350,Jio,Postpaid,71
CUST351,Vi,Prepaid,42
CUST352,Airtel,Prepaid,24
CUST353,BSNL,Postpaid,22
CUST354,Airtel,Postpaid,62
CUST355,Jio,Postpaid,46
CUST356,Vi,Prepaid,3
CUST357,Vi,Postpaid,36
CUST358,Jio,Prepaid,43
CUST359,Vi,Postpaid,58
CUST360,Airtel,Prepaid,24
CUST361,Vi,Postpaid,52
CUST362,Vi,Postpaid,71
CUST363,BSNL,Postpaid,3
CUST364,Jio,Postpaid,46
CUST365,BSNL,Prepaid,18
CUST366,Airtel,Prepaid,9
CUST367,Vi,Postpaid,29
CUST368,BSNL,Postpaid,8
CUST369,Jio,Prepaid,22
CUST370,Airtel,Postpaid,40
CUST371,Vi,Prepaid,13
CUST372,Jio,Prepaid,51
CUST373,BSNL,Prepaid,47
CUST374,Airtel,Postpaid,3
CUST375,Airtel,Postpaid,54
CUST376,Jio,Prepaid,29
CUST377,Jio,Prepaid,22
CUST378,Jio,Prepaid,40
CUST379,Airtel,Postpaid,67
CUST380,Airtel,Prepaid,34
CUST381,Vi,Postpaid,38
CUST382,Vi,Prepaid,4
CUST383,Airtel,Postpaid,19
CUST384,Jio,Postpaid,69
CUST385,Vi,Prepaid,31
CUST386,Airtel,Postpaid,18
CUST387,Jio,Prepaid,49
CUST388,Jio,Postpaid,26
CUST389,Vi,Postpaid,32
CUST390,Vi,Postpaid,53
CUST391,BSNL,Prepaid,6
CUST392,Vi,Prepaid,62
CUST393,Jio,Postpaid,4
CUST394,BSNL,Postpaid,52
CUST395,Airtel,Prepaid,27
CUST396,Airtel,Prepaid,30
CUST397,Airtel,Postpaid,11
CUST398,Vi,Prepaid,28
CUST399,Vi,Prepaid,62
CUST400,BSNL,Postpaid,3
CUST401,Airtel,Postpaid,46
CUST402,BSNL,Prepaid,19
CUST403,Jio,Prepaid,25
CUST404,Vi,Prepaid,20
CUST405,BSNL,Postpaid,52
CUST406,Jio,Prepaid,1
CUST407,Airtel,Postpaid,66
CUST408,Airtel,Postpaid,37
CUST409,Vi,Prepaid,10
CUST410,Airtel,Prepaid,25
CUST411,Airtel,Prepaid,19
CUST412,Vi,Postpaid,48
CUST413,Airtel,Postpaid,46
CUST414,BSNL,Postpaid,38
CUST415,BSNL,Postpaid,52
CUST416,BSNL,Postpaid,62
CUST417,Vi,Prepaid,21
CUST418,Jio,Postpaid,51
CUST419,Jio,Postpaid,57
CUST420,Jio,Postpaid,71
CUST421,BSNL,Prepaid,25
CUST422,BSNL,Postpaid,15
CUST423,Airtel,Prepaid,64
CUST424,Vi,Postpaid,19
CUST425,Airtel,Prepaid,61
CUST426,Airtel,Postpaid,48
CUST427,Jio,Postpaid,42
CUST428,Vi,Prepaid,40
CUST429,Airtel,Postpaid,5
CUST430,Airtel,Postpaid,71
CUST431,Airtel,Prepaid,24
CUST432,Airtel,Postpaid,7
CUST433,Vi,Postpaid,40
CUST434,Vi,Postpaid,51
CUST435,Vi,Prepaid,16
CUST436,Airtel,Postpaid,21
CUST437,Vi,Prepaid,61
CUST438,Airtel,Prepaid,52
CUST439,BSNL,Prepaid,24
CUST440,Jio,Postpaid,9
CUST441,Airtel,Postpaid,1
CUST442,Vi,Prepaid,67
CUST443,Airtel,Prepaid,4
CUST444,Airtel,Postpaid,38
CUST445,Airtel,Postpaid,11
CUST446,Jio,Postpaid,24
CUST447,Vi,Prepaid,60
CUST448,Jio,Prepaid,33
CUST449,BSNL,Prepaid,31
CUST450,Vi,Prepaid,9
CUST451,Vi,Postpaid,54
CUST452,Vi,Postpaid,52
CUST453,BSNL,Prepaid,33
CUST454,BSNL,Postpaid,20
CUST455,Vi,Prepaid,5
CUST456,Airtel,Postpaid,36
CUST457,Jio,Prepaid,9
CUST458,BSNL,Prepaid,69
CUST459,BSNL,Prepaid,33
CUST460,BSNL,Prepaid,51
CUST461,BSNL,Postpaid,48
CUST462,Airtel,Postpaid,47
CUST463,BSNL,Prepaid,2
CUST464,Vi,Prepaid,13
CUST465,Jio,Postpaid,34
CUST466,Vi,Postpaid,68
CUST467,Vi,Postpaid,55
CUST468,BSNL,Postpaid,64
CUST469,BSNL,Postpaid,37
CUST470,Jio,Prepaid,28
CUST471,BSNL,Postpaid,69
CUST472,BSNL,Prepaid,10
CUST473,Vi,Prepaid,5
CUST474,Jio,Postpaid,50
CUST475,Airtel,Postpaid,42
CUST476,Jio,Postpaid,18
CUST477,Jio,Postpaid,71
CUST478,Airtel,Prepaid,3
CUST479,BSNL,Postpaid,24
CUST480,Jio,Prepaid,13
CUST481,Vi,Prepaid,9
CUST482,Vi,Postpaid,56
CUST483,Vi,Postpaid,5
CUST484,Jio,Postpaid,37
CUST485,Vi,Prepaid,9
CUST486,Jio,Postpaid,18
CUST487,Airtel,Prepaid,58
CUST488,Jio,Postpaid,33
CUST489,Jio,Prepaid,48
CUST490,Vi,Prepaid,52
CUST491,Airtel,Prepaid,46
CUST492,Jio,Postpaid,25
CUST493,BSNL,Postpaid,8
CUST494,BSNL,Prepaid,34
CUST495,Airtel,Postpaid,69
CUST496,Jio,Postpaid,20
CUST497,Vi,Prepaid,21
CUST498,BSNL,Prepaid,27
CUST499,Vi,Prepaid,60
CUST500,Airtel,Postpaid,9
CUST501,Vi,Prepaid,38
CUST502,BSNL,Postpaid,8
CUST503,Jio,Prepaid,3
CUST504,Jio,Postpaid,36
CUST505,BSNL,Postpaid,20
CUST506,Airtel,Postpaid,66
CUST507,Jio,Postpaid,17
CUST508,BSNL,Prepaid,54
CUST509,Jio,Postpaid,70
CUST510,Airtel,Prepaid,35
CUST511,Jio,Prepaid,56
CUST512,Vi,Prepaid,47
CUST513,Airtel,Prepaid,2
CUST514,Airtel,Postpaid,1
CUST515,Vi,Postpaid,20
CUST516,Vi,Prepaid,52
CUST517,BSNL,Postpaid,7
CUST518,Jio,Prepaid,70
CUST519,Airtel,Prepaid,65
CUST520,Airtel,Prepaid,20
CUST521,Vi,Postpaid,64
CUST522,Vi,Postpaid,51
CUST523,Jio,Postpaid,47
CUST524,Jio,Postpaid,1
CUST525,Vi,Prepaid,48
CUST526,Airtel,Prepaid,36
CUST527,Vi,Prepaid,26
CUST528,BSNL,Postpaid,6
CUST529,Vi,Postpaid,46
CUST530,Airtel,Prepaid,46
CUST531,Vi,Prepaid,22
CUST532,BSNL,Postpaid,46
CUST533,Airtel,Prepaid,61
CUST534,Vi,Postpaid,39
CUST535,Vi,Prepaid,69
CUST536,Vi,Prepaid,8
CUST537,BSNL,Prepaid,51
CUST538,BSNL,Postpaid,23
CUST539,Vi,Prepaid,38
CUST540,BSNL,Prepaid,28
CUST541,BSNL,Postpaid,70
CUST542,BSNL,Prepaid,32
CUST543,BSNL,Postpaid,45
CUST544,Vi,Postpaid,2
CUST545,Jio,Prepaid,8
CUST546,Jio,Postpaid,57
CUST547,Jio,Prepaid,20
CUST548,Jio,Prepaid,42
CUST549,BSNL,Postpaid,18
CUST550,BSNL,Postpaid,40
CUST551,Airtel,Postpaid,25
CUST552,BSNL,Postpaid,58
CUST553,Airtel,Postpaid,28
CUST554,Vi,Prepaid,46
CUST555,Vi,Prepaid,3
CUST556,Airtel,Postpaid,70
CUST557,Jio,Postpaid,44
CUST558,BSNL,Prepaid,12
CUST559,BSNL,Prepaid,55
CUST560,Vi,Prepaid,39
CUST561,Airtel,Prepaid,7
CUST562,Airtel,Prepaid,6
CUST563,BSNL,Postpaid,8
CUST564,BSNL,Postpaid,30
CUST565,Airtel,Prepaid,36
CUST566,BSNL,Prepaid,64
CUST567,BSNL,Prepaid,11
CUST568,BSNL,Postpaid,19
CUST569,BSNL,Postpaid,55
CUST570,Jio,Postpaid,57
CUST571,Jio,Postpaid,24
CUST572,BSNL,Postpaid,26
CUST573,Vi,Prepaid,13
CUST574,Vi,Postpaid,54
CUST575,Vi,Postpaid,5
CUST576,BSNL,Prepaid,64
CUST577,Airtel,Prepaid,67
CUST578,Airtel,Prepaid,7
CUST579,Vi,Postpaid,26
CUST580,Airtel,Postpaid,2
CUST581,Jio,Postpaid,1
CUST582,BSNL,Postpaid,37
CUST583,Vi,Prepaid,20
CUST584,BSNL,Postpaid,22
CUST585,Airtel,Postpaid,24
CUST586,Airtel,Prepaid,30
CUST587,Jio,Postpaid,23
CUST588,Airtel,Postpaid,20
CUST589,Airtel,Postpaid,2
CUST590,Airtel,Postpaid,34
CUST591,Vi,Prepaid,14
CUST592,Jio,Postpaid,62
CUST593,Jio,Prepaid,20
CUST594,Jio,Prepaid,51
CUST595,Vi,Postpaid,35
CUST596,Jio,Prepaid,2
CUST597,Airtel,Postpaid,34
CUST598,Vi,Prepaid,23
CUST599,Airtel,Prepaid,44
CUST600,Vi,Postpaid,49
CUST601,BSNL,Postpaid,66
CUST602,BSNL,Postpaid,7
CUST603,BSNL,Postpaid,19
CUST604,Airtel,Prepaid,10
CUST605,Airtel,Prepaid,56
CUST606,BSNL,Prepaid,44
CUST607,Vi,Prepaid,23
CUST608,Vi,Postpaid,2
CUST609,Vi,Postpaid,59
CUST610,Jio,Postpaid,31
CUST611,Jio,Prepaid,26
CUST612,Airtel,Prepaid,50
CUST613,Jio,Postpaid,41
CUST614,Airtel,Postpaid,40
CUST615,Jio,Postpaid,17
CUST616,BSNL,Prepaid,53
CUST617,BSNL,Prepaid,13
CUST618,BSNL,Prepaid,50
CUST619,BSNL,Postpaid,40
CUST620,Airtel,Prepaid,54
CUST621,BSNL,Prepaid,39
CUST622,Jio,Prepaid,17
CUST623,Jio,Postpaid,25
CUST624,Airtel,Prepaid,60
CUST625,Airtel,Postpaid,14
CUST626,Vi,Postpaid,47
CUST627,Airtel,Prepaid,70
CUST628,BSNL,Postpaid,33
CUST629,BSNL,Postpaid,46
CUST630,Airtel,Postpaid,32
CUST631,Jio,Prepaid,11
CUST632,BSNL,Prepaid,69
CUST633,BSNL,Postpaid,49
CUST634,Vi,Postpaid,42
CUST635,BSNL,Prepaid,3
CUST636,Vi,Postpaid,33
CUST637,BSNL,Prepaid,13
CUST638,Airtel,Postpaid,53
CUST639,BSNL,Postpaid,11
CUST640,Jio,Postpaid,9
CUST641,BSNL,Postpaid,40
CUST642,BSNL,Postpaid,6
CUST643,Vi,Prepaid,35
CUST644,Airtel,Prepaid,30
CUST645,BSNL,Prepaid,7
CUST646,Vi,Postpaid,52
CUST647,Jio,Postpaid,10
CUST648,BSNL,Postpaid,66
CUST649,Jio,Prepaid,23
CUST650,Vi,Postpaid,34
CUST651,Jio,Prepaid,51
CUST652,BSNL,Prepaid,6
CUST653,Jio,Postpaid,14
CUST654,Vi,Postpaid,10
CUST655,Airtel,Prepaid,33
CUST656,Jio,Postpaid,43
CUST657,BSNL,Postpaid,26
CUST658,Airtel,Prepaid,63
CUST659,BSNL,Prepaid,49
CUST660,Vi,Postpaid,27
CUST661,BSNL,Prepaid,62
CUST662,Airtel,Postpaid,69
CUST663,Jio,Postpaid,39
CUST664,Airtel,Prepaid,29
CUST665,Vi,Postpaid,67
CUST666,BSNL,Prepaid,67
CUST667,Jio,Prepaid,61
CUST668,Vi,Postpaid,41
CUST669,Airtel,Postpaid,10
CUST670,Airtel,Prepaid,66
CUST671,Airtel,Postpaid,59
CUST672,Vi,Prepaid,2
CUST673,Vi,Prepaid,23
CUST674,Vi,Postpaid,31
CUST675,Jio,Postpaid,53
CUST676,Vi,Postpaid,33
CUST677,BSNL,Postpaid,2
CUST678,Airtel,Prepaid,10
CUST679,Jio,Postpaid,6
CUST680,Airtel,Prepaid,3
CUST681,Vi,Prepaid,54
CUST682,BSNL,Postpaid,49
CUST683,Airtel,Postpaid,10
CUST684,Airtel,Prepaid,7
CUST685,Vi,Prepaid,69
CUST686,Airtel,Prepaid,21
CUST687,Airtel,Postpaid,8
CUST688,Airtel,Prepaid,14
CUST689,BSNL,Postpaid,57
CUST690,Jio,Postpaid,69
CUST691,Vi,Postpaid,71
CUST692,Jio,Postpaid,71
CUST693,BSNL,Postpaid,64
CUST694,Jio,Postpaid,59
CUST695,Jio,Postpaid,41
CUST696,Airtel,Postpaid,3
CUST697,BSNL,Postpaid,13
CUST698,Vi,Prepaid,41
CUST699,Airtel,Prepaid,51
CUST700,Jio,Postpaid,20
CUST701,Airtel,Postpaid,41
CUST702,Airtel,Postpaid,53
CUST703,Jio,Postpaid,8
CUST704,BSNL,Prepaid,43
CUST705,Airtel,Prepaid,8
CUST706,Airtel,Prepaid,15
CUST707,Airtel,Prepaid,4
CUST708,BSNL,Prepaid,71
CUST709,BSNL,Postpaid,18
CUST710,Vi,Prepaid,68
CUST711,Airtel,Prepaid,53
CUST712,Vi,Postpaid,11
CUST713,Jio,Postpaid,22
CUST714,BSNL,Postpaid,61
CUST715,BSNL,Prepaid,44
CUST716,BSNL,Postpaid,25
CUST717,Airtel,Postpaid,55
CUST718,Jio,Prepaid,19
CUST719,Jio,Prepaid,41
CUST720,Airtel,Postpaid,5
CUST721,Airtel,Prepaid,26
CUST722,BSNL,Prepaid,45
CUST723,BSNL,Postpaid,3
CUST724,Vi,Prepaid,62
CUST725,BSNL,Prepaid,22
CUST726,Airtel,Postpaid,51
CUST727,Airtel,Prepaid,60
CUST728,Jio,Prepaid,27
CUST729,BSNL,Prepaid,67
CUST730,Jio,Postpaid,16
CUST731,BSNL,Postpaid,13
CUST732,Jio,Postpaid,30
CUST733,Vi,Postpaid,62
CUST734,Vi,Postpaid,47
CUST735,Airtel,Prepaid,2
CUST736,Jio,Prepaid,50
CUST737,Vi,Prepaid,1
CUST738,Jio,Postpaid,26
CUST739,Airtel,Prepaid,66
CUST740,Vi,Postpaid,60
CUST741,Jio,Prepaid,58
CUST742,Airtel,Prepaid,34
CUST743,Airtel,Postpaid,11
CUST744,Jio,Postpaid,15
CUST745,Airtel,Prepaid,51
CUST746,BSNL,Prepaid,19
CUST747,Jio,Postpaid,44
CUST748,Airtel,Postpaid,33
CUST749,Vi,Postpaid,47
CUST750,Jio,Postpaid,69
CUST751,BSNL,Postpaid,39
CUST752,Vi,Prepaid,9
CUST753,Jio,Postpaid,49
CUST754,BSNL,Prepaid,7
CUST755,Jio,Postpaid,21
CUST756,BSNL,Postpaid,60
CUST757,Vi,Postpaid,39
CUST758,Vi,Postpaid,60
CUST759,BSNL,Postpaid,1
CUST760,BSNL,Postpaid,55
CUST761,Jio,Prepaid,43
CUST762,Jio,Prepaid,45
CUST763,Airtel,Postpaid,69
CUST764,Vi,Postpaid,19
CUST765,Vi,Prepaid,31
CUST766,BSNL,Postpaid,46
CUST767,Jio,Prepaid,20
CUST768,Vi,Postpaid,14
CUST769,Airtel,Prepaid,14
CUST770,BSNL,Prepaid,55
CUST771,BSNL,Postpaid,68
CUST772,Jio,Postpaid,48
CUST773,BSNL,Prepaid,10
CUST774,BSNL,Postpaid,29
CUST775,Airtel,Prepaid,38
CUST776,BSNL,Postpaid,40
CUST777,BSNL,Prepaid,2
CUST778,Vi,Prepaid,22
CUST779,Vi,Prepaid,35
CUST780,Airtel,Prepaid,61
CUST781,Jio,Postpaid,41
CUST782,Vi,Prepaid,39
CUST783,Vi,Prepaid,65
CUST784,BSNL,Prepaid,28
CUST785,Jio,Prepaid,50
CUST786,Airtel,Postpaid,50
CUST787,Vi,Prepaid,59
CUST788,Airtel,Postpaid,7
CUST789,Vi,Postpaid,24
CUST790,Airtel,Postpaid,58
CUST791,Vi,Prepaid,44
CUST792,Airtel,Prepaid,36
CUST793,Airtel,Prepaid,37
CUST794,Airtel,Prepaid,55
CUST795,Vi,Prepaid,46
CUST796,BSNL,Prepaid,44
