customer_id,data_gb,call_minutes
CUST229,43,465
CUST230,84,4297
CUST231,87,4511
CUST232,59,1180
CUST233,32,1214
CUST234,96,4041
CUST235,2,3579
CUST236,13,2049
CUST237,49,2285
CUST238,57,1953
CUST239,70,3920
CUST240,51,1776
CUST241,64,4758
CUST242,74,2089
CUST243,27,3541
CUST244,37,161
CUST245,65,484
CUST246,12,2667
CUST247,31,1859
CUST248,2,272
CUST249,83,3183
CUST250,97,2200
CUST251,6,1886
CUST252,91,1619
CUST253,48,880
CUST254,92,3170
CUST255,62,1542
CUST256,95,3109
CUST257,54,3097
CUST258,30,3071
CUST259,88,4913
CUST260,17,3544
CUST261,50,1177
CUST262,57,472
CUST263,23,3052
CUST264,9,4066
CUST265,22,1105
CUST266,90,3047
CUST267,36,4300
CUST268,21,4694
CUST269,62,2943
CUST270,9,3296
CUST271,85,1499
CUST272,96,4576
CUST273,2,1289
CUST274,19,4250
CUST275,44,3250
CUST276,60,4178
CUST277,30,592
CUST278,4,1428
CUST279,49,2135
CUST280,61,834
CUST281,97,920
CUST282,40,2984
CUST283,88,2509
CUST284,5,1696
CUST285,43,1429
CUST286,79,918
CUST287,15,2001
CUST288,51,3444
CUST289,49,4846
CUST290,13,1965
CUST291,36,1719
CUST292,33,679
CUST293,47,1701
CUST294,94,3077
CUST295,48,257
CUST296,83,2752
CUST297,46,231
CUST298,31,4778
CUST299,59,4840
CUST300,80,1813
CUST301,43,177
CUST302,37,605
CUST303,81,403
CUST304,57,839
CUST305,39,2799
CUST306,51,4855
CUST307,47,4628
CUST308,24,3529
CUST309,44,4814
CUST310,16,3881
CUST311,7,4471
CUST312,88,2596
CUST313,6,1687
CUST314,13,1383
CUST315,63,1057
CUST316,20,1921
CUST317,94,2864
CUST318,4,436
CUST319,32,3741
CUST320,25,774
CUST321,92,4038
CUST322,13,2769
CUST323,89,4184
CUST324,6,2853
CUST325,91,4825
CUST326,66,1023
CUST327,5,1759
CUST328,23,323
CUST329,51,389
CUST330,84,1404
CUST331,50,794
CUST332,55,1771
CUST333,31,2914
CUST334,11,2890
CUST335,89,4339
CUST336,46,2446
CUST337,65,3368
CUST338,84,1681
CUST339,75,3712
CUST340,20,2531
CUST341,7,1740
CUST342,73,3042
CUST343,91,4222
CUST344,68,582
CUST345,24,2008
CUST346,87,46
CUST347,40,1847
CUST348,66,2412
CUST349,81,4914
CUST350,80,2952
CUST351,77,4936
CUST352,7,2387
CUST353,71,3931
CUST354,88,748
CUST355,1,201
CUST356,53,4581
CUST357,90,3158
CUST358,51,3061
CUST359,29,1585
CUST360,96,860
CUST361,76,116
CUST362,79,1018
CUST363,14,3173
CUST364,19,2014
CUST365,60,1749
CUST366,79,2450
CUST367,95,2957
CUST368,88,3070
CUST369,57,2354
CUST370,71,921
CUST371,65,1112
CUST372,32,2349
CUST373,24,3194
CUST374,91,3020
CUST375,38,1140
CUST376,65,2279
CUST377,75,3716
CUST378,54,4807
CUST379,84,3892
CUST380,11,4498
CUST381,18,1824
CUST382,35,3727
CUST383,65,2737
CUST384,44,4125
CUST385,27,2843
CUST386,47,4355
CUST387,82,4119
CUST388,69,2891
CUST389,25,157
CUST390,14,2491
CUST391,46,1658
CUST392,58,1292
CUST393,42,1388
CUST394,41,3483
CUST395,23,1227
CUST396,12,261
CUST397,17,479
CUST398,55,1754
CUST399,94,3068
CUST400,50,2468
CUST401,12,158
CUST402,9,4677
CUST403,90,4918
CUST404,75,317
CUST405,26,3610
CUST406,50,2082
CUST407,10,3466
CUST408,76,882
CUST409,16,2237
CUST410,43,1952
CUST411,32,4951
CUST412,93,2288
CUST413,4,2186
CUST414,79,3895
CUST415,10,3491
CUST416,37,1201
CUST417,54,1296
CUST418,72,1597
CUST419,60,2791
CUST420,96,392
CUST421,22,3418
CUST422,49,2306
CUST423,36,3537
CUST424,40,3499
CUST425,57,427
CUST426,88,3312
CUST427,7,3091
CUST428,50,972
CUST429,72,4716
CUST430,10,1225
CUST431,26,3272
CUST432,85,3145
CUST433,7,3655
CUST434,28,235
CUST435,17,1063
CUST436,51,4540
CUST437,14,2698
CUST438,1,1196
CUST439,36,1651
CUST440,88,158
CUST441,5,4723
CUST442,51,1326
CUST443,48,4552
CUST444,66,2722
CUST445,25,1419
CUST446,80,4823
CUST447,45,1178
CUST448,74,4915
CUST449,7,4548
CUST450,74,1232
CUST451,38,1674
CUST452,6,4926
CUST453,11,2840
CUST454,39,1775
CUST455,54,4802
CUST456,25,4482
CUST457,24,1898
CUST458,31,13
CUST459,72,1496
CUST460,39,2734
CUST461,31,3224
CUST462,99,4740
CUST463,91,2072
CUST464,25,1540
CUST465,40,3948
CUST466,5,4884
CUST467,71,2233
CUST468,19,956
CUST469,6,3997
CUST470,62,2138
CUST471,28,2330
CUST472,40,3182
CUST473,86,35
CUST474,2,3562
CUST475,93,2807
CUST476,82,2921
CUST477,70,409
CUST478,69,2869
CUST479,19,138
CUST480,15,186
CUST481,80,2259
CUST482,14,1709
CUST483,96,2075
CUST484,82,4636
CUST485,96,3299
CUST486,73,4819
CUST487,52,1419
CUST488,31,4698
CUST489,86,1988
CUST490,43,323
CUST491,59,3061
CUST492,61,2563
CUST493,85,2816
CUST494,81,36
CUST495,66,4644
CUST496,93,1744
CUST497,74,4530
CUST498,29,4821
CUST499,64,2924
CUST500,26,1148
CUST501,78,4463
CUST502,25,3175
CUST503,66,4378
CUST504,98,2132
CUST505,82,4628
CUST506,80,1587
CUST507,46,3696
CUST508,40,4237
CUST509,56,205
CUST510,13,3404
CUST511,66,2175
CUST512,42,4806
CUST513,71,93
CUST514,18,2283
CUST515,58,1751
CUST516,64,1379
CUST517,31,4497
CUST518,81,1302
CUST519,34,4864
CUST520,51,3214
CUST521,59,170
CUST522,8,3244
CUST523,27,2499
CUST524,78,244
CUST525,3,4163
CUST526,75,3402
CUST527,93,2220
CUST528,85,544
CUST529,25,356
CUST530,18,3418
CUST531,2,3451
CUST532,24,4748
CUST533,65,3649
CUST534,68,1791
CUST535,87,1164
CUST536,81,699
CUST537,31,3025
CUST538,76,2445
CUST539,48,1344
CUST540,4,421
CUST541,10,3133
CUST542,98,4739
CUST543,35,1454
CUST544,40,494
CUST545,13,1308
CUST546,59,1211
CUST547,74,1350
CUST548,8,4766
CUST549,49,3582
CUST550,2,1621
CUST551,78,3522
CUST552,76,1272
CUST553,79,4228
CUST554,87,3726
CUST555,62,2126
CUST556,20,1097
CUST557,38,3801
CUST558,42,3992
CUST559,81,889
CUST560,76,2447
CUST561,36,3251
CUST562,45,4898
CUST563,85,1101
CUST564,16,211
CUST565,37,4573
CUST566,69,1725
CUST567,11,2074
CUST568,45,3484
CUST569,81,2790
CUST570,40,2858
CUST571,38,4825
CUST572,53,1167
CUST573,14,1901
CUST574,87,4006
CUST575,54,4946
CUST576,59,2687
CUST577,24,891
CUST578,4,771
CUST579,69,3508
CUST580,81,2296
CUST581,46,3228
CUST582,20,4437
CUST583,72,516
CUST584,84,2673
CUST585,58,3025
CUST586,8,4660
CUST587,52,3213
CUST588,34,1397
CUST589,37,3056
CUST590,47,4789
CUST591,44,3863
CUST592,56,1452
CUST593,38,2342
CUST594,21,888
CUST595,13,3199
CUST596,67,3667
CUST597,58,4460
CUST598,40,2674
CUST599,91,1396
CUST600,54,1639
CUST601,20,2035
CUST602,31,2542
CUST603,12,2751
CUST604,45,1829
CUST605,56,3738
CUST606,88,2815
CUST607,87,1591
CUST608,49,2810
CUST609,49,3772
CUST610,22,723
CUST611,96,4080
CUST612,16,2477
CUST613,66,1406
CUST614,34,2624
CUST615,79,2829
CUST616,3,3529
CUST617,2,1321
CUST618,97,2680
CUST619,7,4968
CUST620,25,12
CUST621,8,301
CUST622,71,1062
CUST623,52,4343
CUST624,14,1629
CUST625,62,4554
CUST626,21,3827
CUST627,58,2319
CUST628,90,2723
CUST629,13,1175
CUST630,7,2489
CUST631,30,4975
CUST632,69,1658
CUST633,87,1454
CUST634,32,3344
CUST635,13,1111
CUST636,38,1198
CUST637,20,2958
CUST638,88,3107
CUST639,28,4283
CUST640,35,4329
CUST641,57,1872
CUST642,37,2554
CUST643,5,3052
CUST644,88,2598
CUST645,28,1863
CUST646,36,4557
CUST647,15,1344
CUST648,31,3848
CUST649,44,4502
CUST650,23,4340
CUST651,44,249
CUST652,78,3406
CUST653,85,712
CUST654,99,868
CUST655,48,2494
CUST656,43,366
CUST657,57,1035
CUST658,46,247
CUST659,35,4767
CUST660,74,1898
CUST661,89,4698
CUST662,56,288
CUST663,1,1953
CUST664,8,811
CUST665,7,883
CUST666,51,1866
CUST667,49,1354
CUST668,78,2414
CUST669,2,2743
CUST670,12,954
CUST671,37,4367
CUST672,20,4769
CUST673,16,4776
CUST674,77,2540
CUST675,39,2339
CUST676,73,4218
CUST677,42,3700
CUST678,53,928
CUST679,6,80
CUST680,9,2506
CUST681,97,4876
CUST682,60,904
CUST683,37,4266
CUST684,45,4186
CUST685,82,3507
CUST686,52,3747
CUST687,86,3490
CUST688,66,3702
CUST689,44,257
CUST690,17,1016
CUST691,37,3593
CUST692,65,3743
CUST693,34,265
CUST694,80,70
CUST695,51,486
CUST696,36,1346
CUST697,13,2627
CUST698,70,952
CUST699,45,2722
CUST700,49,331
CUST701,35,37
CUST702,80,384
CUST703,69,4294
CUST704,5,4294
CUST705,28,3576
CUST706,92,2201
CUST707,89,1655
CUST708,60,968
CUST709,87,2078
CUST710,72,2937
CUST711,75,705
CUST712,39,1921
CUST713,96,357
CUST714,54,4674
CUST715,14,4248
CUST716,61,3931
CUST717,82,1952
CUST718,33,4637
CUST719,80,2689
CUST720,74,2389
CUST721,6,2165
CUST722,99,285
CUST723,93,4427
CUST724,79,673
CUST725,1,49
CUST726,77,3811
CUST727,39,4150
CUST728,55,3714
CUST729,17,4728
CUST730,39,662
CUST731,89,629
CUST732,22,785
CUST733,20,4567
CUST734,37,3234
CUST735,60,1943
CUST736,63,3062
CUST737,85,2581
CUST738,59,4442
CUST739,35,2066
CUST740,99,1550
CUST741,34,103
CUST742,48,627
CUST743,25,3780
CUST744,49,1748
CUST745,23,2713
CUST746,33,229
CUST747,34,3020
CUST748,40,1947
CUST749,55,1960
CUST750,64,3848
CUST751,73,4492
CUST752,22,1901
CUST753,74,2368
CUST754,34,4802
CUST755,77,2235
CUST756,52,4099
CUST757,15,2701
CUST758,94,4744
CUST759,74,1887
CUST760,10,3234
CUST761,78,2332
CUST762,54,1152
CUST763,20,1061
CUST764,79,2488
CUST765,90,36
CUST766,82,1204
CUST767,42,3500
CUST768,76,551
CUST769,86,1926
CUST770,53,4964
CUST771,79,4901
CUST772,39,1345
CUST773,66,770
CUST774,83,236
CUST775,92,3473
CUST776,89,542
CUST777,56,1852
CUST778,70,603
CUST779,96,2243
CUST780,96,4199
CUST781,97,3849
CUST782,78,3629
CUST783,22,2324
CUST784,34,404
CUST785,23,1307
CUST786,62,4121
CUST787,63,1947
CUST788,46,242
CUST789,80,831
CUST790,39,3141
CUST791,55,1465
CUST792,49,146
CUST793,65,1187
CUST794,2,4021
CUST795,83,811
CUST796,87,2501
CUST797,6,2784
CUST798,34,697
CUST799,74,1398
CUST800,19,2488
CUST801,36,3872
CUST802,74,4686
CUST803,16,1721
CUST804,26,558
CUST805,66,448
CUST806,75,2090
CUST807,8,22
CUST808,24,4317
CUST809,75,311
CUST810,48,4273
CUST811,98,4623
CUST812,42,279
CUST813,65,109
CUST814,62,4856
CUST815,23,1176
CUST816,90,3458
CUST817,33,2366
CUST818,61,2207
CUST819,59,401
CUST820,63,3768
CUST821,66,3123
CUST822,6,4919
CUST823,22,420
CUST824,30,1640
CUST825,8,4212
CUST826,20,3760
CUST827,55,1792
CUST828,61,4055
CUST829,96,1680
CUST830,96,2151
CUST831,62,1076
CUST832,51,1838
CUST833,64,2661
CUST834,30,433
CUST835,1,1511
CUST836,47,3409
CUST837,85,3315
CUST838,56,1419
CUST839,23,3805
CUST840,81,1471
CUST841,94,1137
CUST842,25,1919
CUST843,23,1520
CUST844,31,924
CUST845,69,46
CUST846,67,3598
CUST847,69,3095
CUST848,99,1961
CUST849,41,189
CUST850,96,4569
CUST851,90,2349
CUST852,21,2795
CUST853,85,3248
CUST854,52,1516
CUST855,46,4382
CUST856,63,3638
CUST857,46,1826
CUST858,15,4814
CUST859,4,1900
CUST860,37,1035
CUST861,26,1551
CUST862,45,2743
CUST863,45,2612
CUST864,78,159
CUST865,22,3108
CUST866,66,4018
CUST867,81,83
CUST868,11,3966
CUST869,3,1428
CUST870,23,1651
CUST871,94,2872
CUST872,75,3695
CUST873,16,3831
CUST874,21,4852
CUST875,75,3720
CUST876,88,354
CUST877,11,1575
CUST878,16,305
CUST879,12,1190
CUST880,38,4454
CUST881,50,2503
CUST882,23,3632
CUST883,95,2159
CUST884,21,4247
CUST885,35,4197
CUST886,87,1296
CUST887,2,2421
CUST888,3,1436
CUST889,17,2771
CUST890,96,4123
CUST891,46,1214
CUST892,33,1529
CUST893,1,3239
CUST894,30,2215
CUST895,52,2492
CUST896,52,3562
CUST897,92,2132
CUST898,25,1468
CUST899,42,4344
CUST900,16,2947
CUST901,10,380
CUST902,7,2423
CUST903,88,508
CUST904,57,2625
CUST905,93,2637
CUST906,97,952
CUST907,56,3545
CUST908,72,2733
CUST909,72,3844
CUST910,91,1862
CUST911,47,4666
CUST912,18,493
CUST913,67,4304
CUST914,24,4863
CUST915,1,1203
CUST916,32,3103
CUST917,43,607
CUST918,44,3489
CUST919,57,2468
CUST920,30,3623
CUST921,22,4581
CUST922,47,3979
CUST923,4,4858
CUST924,75,3348
CUST925,73,2528
CUST926,72,1629
CUST927,57,3353
CUST928,69,2004
CUST929,24,3874
CUST930,52,348
CUST931,75,2478
CUST932,94,3599
CUST933,69,1501
CUST934,9,1566
CUST935,52,3372
CUST936,64,3171
CUST937,18,4251
CUST938,62,648
CUST939,8,1109
CUST940,65,4743
CUST941,17,4354
CUST942,88,141
CUST943,21,4804
CUST944,59,4207
CUST945,12,4676
CUST946,2,3174
CUST947,33,389
CUST948,32,2283
CUST949,30,3658
CUST950,41,2884
CUST951,91,4922
CUST952,75,4042
CUST953,52,3511
CUST954,30,4058
CUST955,3,4521
CUST956,18,706
CUST957,86,1577
CUST958,83,1438
CUST959,53,1146
CUST960,5,1019
CUST961,98,4858
CUST962,57,1574
CUST963,74,988
CUST964,5,641
CUST965,1,1787
CUST966,24,2281
CUST967,90,1672
CUST968,62,3707
CUST969,96,1139
CUST970,34,312
CUST971,75,537
CUST972,31,502
CUST973,5,72
CUST974,1,4683
CUST975,80,2261
CUST976,53,1474
CUST977,67,1141
CUST978,68,269
CUST979,65,168
CUST980,36,595
CUST981,67,2310
CUST982,43,1849
CUST983,13,4130
CUST984,82,3230
CUST985,18,2139
CUST986,19,3486
CUST987,57,4174
CUST988,88,3493
CUST989,30,607
CUST990,11,4548
CUST991,43,3192
CUST992,40,1525
CUST993,81,2311
CUST994,3,3494
CUST995,49,969
CUST996,74,2606
CUST997,67,1711
CUST998,87,13
CUST999,18,3608
CUST1000,10,2516
CUST1001,22,3259
CUST1002,43,4706
CUST1003,84,1454
CUST1004,1,437
CUST1005,69,928
CUST1006,70,3508
CUST1007,24,2624
CUST1008,26,3054
CUST1009,64,2170
CUST1010,57,4456
CUST1011,75,884
CUST1012,56,259
CUST1013,29,1059
CUST1014,88,1405
CUST1015,54,3894
CUST1016,35,1287
CUST1017,63,2935
CUST1018,68,4781
CUST1019,43,1330
CUST1020,67,3235
CUST1021,88,2719
CUST1022,92,3468
CUST1023,23,4277
CUST1024,25,1674
CUST1025,24,3277
CUST1026,77,568
CUST1027,97,1265
CUST1028,64,4213
CUST1029,93,3799
CUST1030,17,4999
CUST1031,21,2297
CUST1032,41,4907
CUST1033,47,3142
CUST1034,93,2044
CUST1035,63,4122
CUST1036,50,4900
CUST1037,1,739
CUST1038,41,1937
CUST1039,71,4743
CUST1040,69,3163
CUST1041,76,1123
CUST1042,19,1902
CUST1043,30,896
CUST1044,47,2559
CUST1045,95,3387
CUST1046,11,1515
CUST1047,53,3684
CUST1048,70,4745
CUST1049,60,1900
CUST1050,56,3685
CUST1051,52,2113
CUST1052,69,2957
CUST1053,43,4503
CUST1054,81,1785
CUST1055,86,397
CUST1056,75,1541
CUST1057,83,3577
CUST1058,2,3864
CUST1059,29,1142
CUST1060,50,454
CUST1061,11,1692
CUST1062,40,2278
CUST1063,99,4619
CUST1064,86,1447
CUST1065,10,1779
CUST1066,8,210
CUST1067,3,3872
CUST1068,82,871
CUST1069,67,1957
CUST1070,22,1425
CUST1071,55,2205
CUST1072,90,2482
CUST1073,41,141
CUST1074,42,3099
CUST1075,20,1532
CUST1076,97,3444
CUST1077,68,40
CUST1078,36,1596
CUST1079,88,3508
CUST1080,18,1204
CUST1081,87,2356
CUST1082,75,2910
CUST1083,10,1016
CUST1084,94,1928
CUST1085,15,857
CUST1086,32,672
CUST1087,36,239
CUST1088,4,1347
CUST1089,55,785
CUST1090,33,2688
CUST1091,97,1647
CUST1092,36,2477
CUST1093,6,3270
CUST1094,8,3309
CUST1095,38,507
CUST1096,12,2702
CUST1097,91,45
CUST1098,95,121
CUST1099,41,30
CUST1100,19,4461
CUST1101,81,2859
CUST1102,27,1392
CUST1103,92,4588
CUST1104,11,3552
CUST1105,89,3150
CUST1106,83,431
CUST1107,39,1137
CUST1108,19,2193
CUST1109,45,618
CUST1110,69,2328
CUST1111,35,2368
CUST1112,26,777
CUST1113,79,3182
CUST1114,5,1993
CUST1115,34,4061
CUST1116,30,52
CUST1117,4,1556
CUST1118,34,3168
CUST1119,98,3875
CUST1120,14,694
CUST1121,3,4242
CUST1122,8,2369
CUST1123,30,1913
CUST1124,92,3296
CUST1125,27,3595
CUST1126,49,120
CUST1127,6,1036
CUST1128,94,3528
CUST1129,31,3281
CUST1130,8,1794
CUST1131,40,2046
CUST1132,58,1067
CUST1133,77,72
CUST1134,10,1242
CUST1135,8,1169
CUST1136,62,2333
CUST1137,41,1668
CUST1138,12,906
CUST1139,42,4135
CUST1140,41,3248
CUST1141,9,4677
CUST1142,34,1534
CUST1143,25,4513
CUST1144,93,1828
CUST1145,71,1860
CUST1146,33,3001
CUST1147,24,4819
CUST1148,14,4819
CUST1149,23,1351
CUST1150,67,465
CUST1151,77,3419
CUST1152,17,4882
CUST1153,84,2370
CUST1154,42,2442
CUST1155,25,2746
CUST1156,57,204
CUST1157,12,2812
CUST1158,80,1557
CUST1159,31,4159
CUST1160,92,534
CUST1161,78,4110
CUST1162,2,4372
CUST1163,79,309
CUST1164,5,4627
CUST1165,36,626
CUST1166,59,1444
CUST1167,31,375
CUST1168,38,561
CUST1169,34,4872
CUST1170,6,1661
CUST1171,96,1942
CUST1172,75,2368
CUST1173,24,259
CUST1174,12,135
CUST1175,63,2579
CUST1176,10,2047
CUST1177,44,1069
CUST1178,83,2557
CUST1179,98,3758
CUST1180,62,4615
CUST1181,99,2188
CUST1182,34,1588
CUST1183,97,1243
CUST1184,97,2226
CUST1185,49,1012
CUST1186,26,2675
CUST1187,90,646
CUST1188,97,4431
CUST1189,22,809
CUST1190,66,2593
CUST1191,11,4676
CUST1192,58,1811
CUST1193,51,4397
CUST1194,52,4796
CUST1195,66,3248
CUST1196,22,4864
CUST1197,83,1829
CUST1198,76,935
CUST1199,80,3656
CUST1200,50,4173
CUST1201,86,1256
CUST1202,63,58
CUST1203,28,2819
CUST1204,5,2061
CUST1205,49,4498
CUST1206,65,2699
CUST1207,39,4058
CUST1208,64,804
CUST1209,49,2364
CUST1210,78,2958
CUST1211,67,1972
CUST1212,84,1561
CUST1213,90,1740
CUST1214,37,2461
CUST1215,30,2681
CUST1216,33,3321
CUST1217,97,2671
CUST1218,56,2459
CUST1219,55,2255
CUST1220,22,454
CUST1221,67,784
CUST1222,55,743
CUST1223,51,1729
CUST1224,76,2616
CUST1225,2,2341
CUST1226,58,746
CUST1227,2,4178
CUST1228,51,4042
CUST1229,26,2185
CUST1230,90,2251
CUST1231,39,1731
CUST1232,49,2692
CUST1233,71,4874
CUST1234,97,1233
CUST1235,11,1649
CUST1236,16,420
CUST1237,57,4900
CUST1238,31,1988
CUST1239,26,4680
CUST1240,26,1838
CUST1241,84,1158
CUST1242,90,2114
CUST1243,1,2506
CUST1244,94,1968
CUST1245,64,381
CUST1246,55,4538
CUST1247,41,855
CUST1248,5,959
CUST1249,20,865
CUST1250,86,1215
CUST1251,28,2643
CUST1252,84,1514
CUST1253,12,3614
CUST1254,53,839
CUST1255,47,3859
CUST1256,23,420
CUST1257,41,1398
CUST1258,47,1345
CUST1259,44,1053
CUST1260,55,1553
CUST1261,32,1174
CUST1262,25,2915
CUST1263,33,880
CUST1264,48,3354
CUST1265,21,2209
CUST1266,44,2460
CUST1267,62,617
CUST1268,24,49
CUST1269,65,1235
CUST1270,90,321
CUST1271,68,1084
CUST1272,82,3132
CUST1273,93,2023
CUST1274,96,4198
CUST1275,94,1619
CUST1276,99,2957
CUST1277,64,3149
CUST1278,72,690
CUST1279,58,3840
CUST1280,16,1512
CUST1281,78,2284
CUST1282,90,1415
CUST1283,84,4296
CUST1284,3,173
CUST1285,59,3314
CUST1286,75,4686
CUST1287,45,4922
CUST1288,52,2233
CUST1289,12,3640
CUST1290,40,2707
CUST1291,36,1466
CUST1292,99,3407
CUST1293,35,686
CUST1294,63,827
CUST1295,71,680
CUST1296,9,1327
CUST1297,37,4907
CUST1298,25,1785
CUST1299,28,4968
CUST1300,27,2480
CUST1301,60,2777
CUST1302,36,106
CUST1303,50,1047
CUST1304,12,2357
CUST1305,7,2989
CUST1306,42,891
CUST1307,62,2204
CUST1308,76,3852
CUST1309,45,4920
CUST1310,55,190
CUST1311,60,3063
CUST1312,43,1637
CUST1313,75,1837
CUST1314,28,864
CUST1315,23,2531
CUST1316,46,99
CUST1317,92,4156
CUST1318,46,223
CUST1319,76,2653
CUST1320,17,3183
CUST1321,64,2766
CUST1322,48,4327
CUST1323,52,3796
CUST1324,36,1675
CUST1325,94,1687
CUST1326,32,3914
CUST1327,50,2957
CUST1328,67,2020
CUST1329,94,4447
CUST1330,94,3119
CUST1331,17,99
CUST1332,95,4172
CUST1333,86,250
CUST1334,78,224
CUST1335,58,3680
CUST1336,37,1764
CUST1337,86,745
CUST1338,11,15
CUST1339,7,1094
CUST1340,64,1028
CUST1341,55,3893
CUST1342,37,2284
CUST1343,64,1251
CUST1344,88,4747
CUST1345,46,1230
CUST1346,94,1459
CUST1347,42,2779
CUST1348,92,2375
CUST1349,37,2828
CUST1350,23,3054
CUST1351,51,590
CUST1352,33,88
CUST1353,27,3882
CUST1354,25,1709
CUST1355,23,4621
CUST1356,8,3868
CUST1357,29,3983
CUST1358,25,1323
CUST1359,67,1928
CUST1360,48,2387
CUST1361,71,3841
CUST1362,14,4998
CUST1363,81,4911
CUST1364,86,4860
CUST1365,69,672
CUST1366,66,4268
CUST1367,42,931
CUST1368,35,4387
CUST1369,78,2516
CUST1370,98,4380
CUST1371,27,4505
CUST1372,21,4883
CUST1373,26,3451
CUST1374,70,3381
CUST1375,88,3523
CUST1376,28,4117
CUST1377,48,4641
CUST1378,97,2240
CUST1379,63,2333
CUST1380,89,3309
CUST1381,95,1611
CUST1382,10,1433
CUST1383,19,3678
